id,title,release_date,revenue
96721,Rush,2013-09-02,90247624
331,Jurassic Park III,2001-07-18,368780809
158852,Tomorrowland,2015-05-19,209154322
195589,Neighbors,2014-05-08,270665134
8909,Wanted,2008-06-19,342463063
324852,Despicable Me 3,2017-06-15,1031552585
328387,Nerve,2016-06-27,85241496
949,Heat,1995-12-15,187436818
14574,The Boy in the Striped Pyjamas,2008-05-07,20416563
427641,Rampage,2018-04-11,428028233
7191,Cloverfield,2008-01-15,170764026
561,Constantine,2005-02-08,230884728
9339,Click,2006-06-23,240685326
616037,Thor: Love and Thunder,2022-07-06,760928081
773,Little Miss Sunshine,2006-07-26,100523181
9693,Children of Men,2006-09-22,70595464
75780,Jack Reacher,2012-12-20,218340595
37735,Easy A,2010-09-16,75026327
492188,Marriage Story,2019-09-28,2300000
1734,The Mummy Returns,2001-05-04,443280904
65754,The Girl with the Dragon Tattoo,2011-12-14,232617430
142,Brokeback Mountain,2005-09-10,178043761
109424,Captain Phillips,2013-10-10,218791811
296098,Bridge of Spies,2015-10-15,165478348
18360,Night at the Museum: Battle of the Smithsonian,2009-05-20,413106170
310131,The Witch,2015-01-27,40423945
315162,Puss in Boots: The Last Wish,2022-12-07,482129780
1487,Hellboy,2004-04-02,99318987
98566,Teenage Mutant Ninja Turtles,2014-08-07,485004754
10527,Madagascar: Escape 2 Africa,2008-10-30,603900354
49444,Kung Fu Panda 2,2011-05-25,665692281
11321,Seven Pounds,2008-12-18,168167691
76757,Jupiter Ascending,2015-02-04,183987723
13448,Angels & Demons,2009-05-13,485930816
4247,Scary Movie,2000-07-07,278019771
68735,Warcraft,2016-05-25,433677183
10201,Yes Man,2008-12-09,223241637
9543,Prince of Persia: The Sands of Time,2010-05-19,336365676
60304,Hansel & Gretel: Witch Hunters,2013-01-17,226349749
447404,Pokémon Detective Pikachu,2019-05-03,449762638
619264,The Platform,2019-11-08,1090116
49018,Insidious,2011-03-31,99870886
616,The Last Samurai,2003-12-05,456758981
38055,Megamind,2010-10-28,321885765
76163,The Expendables 2,2012-08-08,314975955
39514,RED,2010-10-13,199000000
337401,Mulan,2020-09-04,66800000
527774,Raya and the Last Dragon,2021-03-03,130423032
381283,mother!,2017-09-13,44516999
11224,Cinderella,1950-02-22,263591415
37135,Tarzan,1999-06-18,448191819
28178,Hachi: A Dog's Tale,2009-06-08,46749646
68728,Oz the Great and Powerful,2013-03-07,491868548
1091,The Thing,1982-06-25,19629760
81188,Rise of the Guardians,2012-11-21,306941670
262504,Allegiant,2016-03-09,179246868
